num_pushers,spdx_license,iso2_code,year,quarter
738,MIT,AE,2020,1
217,NOASSERTION,AE,2020,1
201,Apache-2.0,AE,2020,1
152,GPL-3.0,AE,2020,1
182,MIT,AL,2020,1
312,MIT,AM,2020,1
3082,MIT,AR,2020,1
1215,GPL-3.0,AR,2020,1
938,NOASSERTION,AR,2020,1
647,Apache-2.0,AR,2020,1
179,BSD-3-Clause,AR,2020,1
151,GPL-2.0,AR,2020,1
138,AGPL-3.0,AR,2020,1
3367,MIT,AT,2020,1
1498,NOASSERTION,AT,2020,1
1237,GPL-3.0,AT,2020,1
1072,Apache-2.0,AT,2020,1
336,GPL-2.0,AT,2020,1
268,BSD-3-Clause,AT,2020,1
187,AGPL-3.0,AT,2020,1
167,BSD-2-Clause,AT,2020,1
137,LGPL-3.0,AT,2020,1
124,Unlicense,AT,2020,1
9734,MIT,AU,2020,1
4011,NOASSERTION,AU,2020,1
2853,GPL-3.0,AU,2020,1
2842,Apache-2.0,AU,2020,1
674,BSD-3-Clause,AU,2020,1
641,GPL-2.0,AU,2020,1
353,AGPL-3.0,AU,2020,1
297,Unlicense,AU,2020,1
264,BSD-2-Clause,AU,2020,1
228,CC0-1.0,AU,2020,1
226,LGPL-3.0,AU,2020,1
197,MPL-2.0,AU,2020,1
127,LGPL-2.1,AU,2020,1
126,MIT,AZ,2020,1
285,MIT,BA,2020,1
1675,MIT,BD,2020,1
478,GPL-3.0,BD,2020,1
433,Apache-2.0,BD,2020,1
428,NOASSERTION,BD,2020,1
114,GPL-2.0,BD,2020,1
3740,MIT,BE,2020,1
1709,NOASSERTION,BE,2020,1
1194,GPL-3.0,BE,2020,1
1100,Apache-2.0,BE,2020,1
284,GPL-2.0,BE,2020,1
243,AGPL-3.0,BE,2020,1
240,BSD-3-Clause,BE,2020,1
145,LGPL-3.0,BE,2020,1
105,Unlicense,BE,2020,1
1897,MIT,BG,2020,1
602,NOASSERTION,BG,2020,1
488,Apache-2.0,BG,2020,1
375,GPL-3.0,BG,2020,1
104,GPL-2.0,BG,2020,1
317,MIT,BO,2020,1
21284,MIT,BR,2020,1
5534,GPL-3.0,BR,2020,1
4217,Apache-2.0,BR,2020,1
3868,NOASSERTION,BR,2020,1
715,GPL-2.0,BR,2020,1
672,BSD-3-Clause,BR,2020,1
593,AGPL-3.0,BR,2020,1
413,Unlicense,BR,2020,1
397,LGPL-3.0,BR,2020,1
376,CC0-1.0,BR,2020,1
249,BSD-2-Clause,BR,2020,1
195,MPL-2.0,BR,2020,1
131,EPL-2.0,BR,2020,1
125,LGPL-2.1,BR,2020,1
109,ISC,BR,2020,1
2882,MIT,BY,2020,1
767,Apache-2.0,BY,2020,1
656,NOASSERTION,BY,2020,1
394,GPL-3.0,BY,2020,1
122,GPL-2.0,BY,2020,1
19706,MIT,CA,2020,1
7661,NOASSERTION,CA,2020,1
5628,Apache-2.0,CA,2020,1
5023,GPL-3.0,CA,2020,1
1108,GPL-2.0,CA,2020,1
1098,BSD-3-Clause,CA,2020,1
766,AGPL-3.0,CA,2020,1
515,Unlicense,CA,2020,1
510,MPL-2.0,CA,2020,1
440,BSD-2-Clause,CA,2020,1
438,LGPL-3.0,CA,2020,1
393,CC0-1.0,CA,2020,1
216,ISC,CA,2020,1
164,LGPL-2.1,CA,2020,1
139,CC-BY-4.0,CA,2020,1
135,CC-BY-SA-4.0,CA,2020,1
123,EPL-2.0,CA,2020,1
5445,MIT,CH,2020,1
2823,NOASSERTION,CH,2020,1
2273,Apache-2.0,CH,2020,1
2140,GPL-3.0,CH,2020,1
654,BSD-3-Clause,CH,2020,1
482,GPL-2.0,CH,2020,1
394,AGPL-3.0,CH,2020,1
257,LGPL-3.0,CH,2020,1
205,BSD-2-Clause,CH,2020,1
149,CC0-1.0,CH,2020,1
131,MPL-2.0,CH,2020,1
121,Unlicense,CH,2020,1
106,CC-BY-4.0,CH,2020,1
104,LGPL-2.1,CH,2020,1
1343,MIT,CL,2020,1
446,GPL-3.0,CL,2020,1
329,NOASSERTION,CL,2020,1
295,Apache-2.0,CL,2020,1
107,BSD-3-Clause,CL,2020,1
204,MIT,CM,2020,1
45426,MIT,CN,2020,1
23657,Apache-2.0,CN,2020,1
12720,NOASSERTION,CN,2020,1
9026,GPL-3.0,CN,2020,1
3327,GPL-2.0,CN,2020,1
1833,BSD-3-Clause,CN,2020,1
1028,LGPL-3.0,CN,2020,1
729,BSD-2-Clause,CN,2020,1
722,AGPL-3.0,CN,2020,1
565,Unlicense,CN,2020,1
533,CC0-1.0,CN,2020,1
479,MPL-2.0,CN,2020,1
274,LGPL-2.1,CN,2020,1
255,CC-BY-SA-4.0,CN,2020,1
225,CC-BY-4.0,CN,2020,1
183,WTFPL,CN,2020,1
165,EPL-2.0,CN,2020,1
146,ISC,CN,2020,1
2863,MIT,CO,2020,1
965,GPL-3.0,CO,2020,1
643,NOASSERTION,CO,2020,1
565,Apache-2.0,CO,2020,1
118,GPL-2.0,CO,2020,1
441,MIT,CR,2020,1
156,GPL-3.0,CR,2020,1
139,NOASSERTION,CR,2020,1
103,Apache-2.0,CR,2020,1
139,MIT,CU,2020,1
215,MIT,CY,2020,1
3927,MIT,CZ,2020,1
1741,NOASSERTION,CZ,2020,1
1274,Apache-2.0,CZ,2020,1
1251,GPL-3.0,CZ,2020,1
501,GPL-2.0,CZ,2020,1
373,BSD-3-Clause,CZ,2020,1
177,AGPL-3.0,CZ,2020,1
140,BSD-2-Clause,CZ,2020,1
140,LGPL-3.0,CZ,2020,1
139,LGPL-2.1,CZ,2020,1
124,Unlicense,CZ,2020,1
103,EPL-2.0,CZ,2020,1
31811,MIT,DE,2020,1
14430,NOASSERTION,DE,2020,1
11769,GPL-3.0,DE,2020,1
11100,Apache-2.0,DE,2020,1
3202,GPL-2.0,DE,2020,1
2578,BSD-3-Clause,DE,2020,1
2030,AGPL-3.0,DE,2020,1
1428,LGPL-3.0,DE,2020,1
1123,BSD-2-Clause,DE,2020,1
1014,Unlicense,DE,2020,1
826,MPL-2.0,DE,2020,1
798,CC0-1.0,DE,2020,1
668,LGPL-2.1,DE,2020,1
444,EPL-2.0,DE,2020,1
407,ISC,DE,2020,1
310,CC-BY-4.0,DE,2020,1
304,CC-BY-SA-4.0,DE,2020,1
297,EPL-1.0,DE,2020,1
157,WTFPL,DE,2020,1
106,BSL-1.0,DE,2020,1
3379,MIT,DK,2020,1
1217,NOASSERTION,DK,2020,1
953,GPL-3.0,DK,2020,1
784,Apache-2.0,DK,2020,1
218,BSD-3-Clause,DK,2020,1
169,GPL-2.0,DK,2020,1
134,AGPL-3.0,DK,2020,1
102,BSD-2-Clause,DK,2020,1
102,LGPL-3.0,DK,2020,1
410,MIT,DO,2020,1
416,MIT,DZ,2020,1
101,NOASSERTION,DZ,2020,1
463,MIT,EC,2020,1
214,GPL-3.0,EC,2020,1
142,NOASSERTION,EC,2020,1
127,Apache-2.0,EC,2020,1
841,MIT,EE,2020,1
276,NOASSERTION,EE,2020,1
262,Apache-2.0,EE,2020,1
186,GPL-3.0,EE,2020,1
1457,MIT,EG,2020,1
403,Apache-2.0,EG,2020,1
396,NOASSERTION,EG,2020,1
343,GPL-3.0,EG,2020,1
9300,MIT,ES,2020,1
4911,GPL-3.0,ES,2020,1
3577,NOASSERTION,ES,2020,1
3250,Apache-2.0,ES,2020,1
923,AGPL-3.0,ES,2020,1
770,GPL-2.0,ES,2020,1
518,BSD-3-Clause,ES,2020,1
328,LGPL-3.0,ES,2020,1
258,CC0-1.0,ES,2020,1
227,Unlicense,ES,2020,1
212,BSD-2-Clause,ES,2020,1
176,MPL-2.0,ES,2020,1
126,LGPL-2.1,ES,2020,1
162,MIT,ET,2020,1
